"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94","getTest","Surefire suite","Mon Jul 14 17:03:41 GMT 2025","passed","Mon Jul 14 17:03:41 GMT 2025","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","getTest"
"","232","createTestCase","Surefire suite","Mon Jul 14 17:03:40 GMT 2025","passed","Mon Jul 14 17:03:40 GMT 2025","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","createTestCase"
"","223","createProject","Surefire suite","Mon Jul 14 17:03:37 GMT 2025","broken","Mon Jul 14 17:03:37 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","createProject"
"","230","checkLoginWithWrongLogin","Surefire suite","Mon Jul 14 17:03:36 GMT 2025","broken","Mon Jul 14 17:03:36 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongLogin"
"","338","createTest","Surefire suite","Mon Jul 14 17:03:41 GMT 2025","passed","Mon Jul 14 17:03:41 GMT 2025","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","createTest"
"","225","checkForgotPasswordButton","Surefire suite","Mon Jul 14 17:03:36 GMT 2025","broken","Mon Jul 14 17:03:37 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkForgotPasswordButton"
"","225","checkLoginWithEmptyPassword","Surefire suite","Mon Jul 14 17:03:35 GMT 2025","broken","Mon Jul 14 17:03:36 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithEmptyPassword"
"","221","checkLoginWithWrongPassword","Surefire suite","Mon Jul 14 17:03:36 GMT 2025","broken","Mon Jul 14 17:03:36 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","232","checkLoginWithPositiveCred","Surefire suite","Mon Jul 14 17:03:36 GMT 2025","broken","Mon Jul 14 17:03:36 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithPositiveCred"
"","260","deleteTestCase","Surefire suite","Mon Jul 14 17:03:40 GMT 2025","passed","Mon Jul 14 17:03:41 GMT 2025","tests.api.CaseAPITest","Surefire test","tests.api.CaseAPITest","deleteTestCase"
"","224","checkCreateCase","Surefire suite","Mon Jul 14 17:03:35 GMT 2025","broken","Mon Jul 14 17:03:35 GMT 2025","tests.ui.RepositoryTest","Surefire test","tests.ui.RepositoryTest","checkCreateCase"
"","283","checkLoginWithEmptyLogin","Surefire suite","Mon Jul 14 17:03:35 GMT 2025","broken","Mon Jul 14 17:03:35 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkLoginWithEmptyLogin"
"","1428","checkAddSuite","Surefire suite","Mon Jul 14 17:03:33 GMT 2025","broken","Mon Jul 14 17:03:35 GMT 2025","tests.ui.RepositoryTest","Surefire test","tests.ui.RepositoryTest","checkAddSuite"
"","240","checkDeleteSuite","Surefire suite","Mon Jul 14 17:03:35 GMT 2025","broken","Mon Jul 14 17:03:35 GMT 2025","tests.ui.RepositoryTest","Surefire test","tests.ui.RepositoryTest","checkDeleteSuite"
"","222","checkRememberMeButton","Surefire suite","Mon Jul 14 17:03:37 GMT 2025","broken","Mon Jul 14 17:03:37 GMT 2025","tests.ui.LoginTest","Surefire test","tests.ui.LoginTest","checkRememberMeButton"
"","228","deleteProject","Surefire suite","Mon Jul 14 17:03:37 GMT 2025","broken","Mon Jul 14 17:03:37 GMT 2025","tests.ui.ProjectTest","Surefire test","tests.ui.ProjectTest","deleteProject"
"","107","deleteTest","Surefire suite","Mon Jul 14 17:03:41 GMT 2025","passed","Mon Jul 14 17:03:41 GMT 2025","tests.api.ProjectAPITest","Surefire test","tests.api.ProjectAPITest","deleteTest"
